fra;jour;clage_90;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-06-24;0;1;;0;0;0;0
FR;2020-06-24;0;2;;0;0;0;0
FR;2020-06-25;0;0;0.187737479530469;0.813529077965364;0.105788579735423;9.44647317637437;0.712210438218762
FR;2020-06-25;0;1;;0;0;0;0
FR;2020-06-25;0;2;;0;0;0;0
FR;2020-06-26;0;0;0.180287579549101;0.810549117972817;0.114728459713064;9.16635693707494;0.689860738274658
FR;2020-06-26;0;1;;0;0;0;0
FR;2020-06-26;0;2;;0;0;0;0
FR;2020-06-27;0;0;0.17581763956028;0.780749518047345;0.117708419705611;8.90710041772334;0.666021058334281
FR;2020-06-27;0;1;;0;0;0;0
FR;2020-06-27;0;2;;0;0;0;0
FR;2020-06-28;0;0;0.153467939616177;0.764359738088336;0.123668339690705;8.8981605377457;0.676450918308196
FR;2020-06-28;0;1;;0;0;0;0
FR;2020-06-28;0;2;;0;0;0;0
FR;2020-06-29;0;0;0.153467939616177;0.755419858110695;0.116218439709338;8.96073969758919;0.680920858297017
FR;2020-06-29;0;1;;0;0;0;0
FR;2020-06-29;0;2;;0;0;0;0
FR;2020-06-30;0;0;0.147508019631082;0.736050118159139;0.120688379698158;8.78641203802518;0.654101218364093
FR;2020-06-30;0;1;;0;0;0;0
FR;2020-06-30;0;2;;0;0;0;0
FR;2020-07-01;0;0;0.13409819966462;0.727110238181497;0.114728459713064;8.51076573871457;0.619831678449801
FR;2020-07-01;0;1;;0;0;0;0
FR;2020-07-01;0;2;;0;0;0;0
FR;2020-07-02;0;0;0.128138279679526;0.707740498229941;0.104298599739149;8.29769859924746;0.601951918494518
FR;2020-07-02;0;1;;0;0;0;0
FR;2020-07-02;0;2;;0;0;0;0
FR;2020-07-03;0;0;0.105788579735423;0.683900818289564;0.098338679754055;8.08463145978034;0.578112238554141
FR;2020-07-03;0;1;;0;0;0;0
FR;2020-07-03;0;2;;0;0;0;0
FR;2020-07-04;0;0;0.105788579735423;0.688370758278385;0.0968486997577814;7.92222364018652;0.564702418587679
FR;2020-07-04;0;1;;0;0;0;0
FR;2020-07-04;0;2;;0;0;0;0
FR;2020-07-05;0;0;0.113238479716791;0.676450918308196;0.0893987997764136;7.9177537001977;0.572152318569047
FR;2020-07-05;0;1;;0;0;0;0
FR;2020-07-05;0;2;;0;0;0;0
FR;2020-07-06;0;0;0.114728459713064;0.680920858297017;0.0938687397652343;7.96543306007845;0.582582178542962
FR;2020-07-06;0;1;;0;0;0;0
